Number of leaf symbols,States in word automata,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
4,4,82,12,1,1,1,4,2430287,1,4,2420689,1,4,3157642,1,4,2420689,1
3,5,25,8,0,3,0,3,75620,1,3,20638,1,3,19988,1,3,20638,1
4,4,39,13,0,3,0,3,578846,1,3,532602,1,3,816290,1,3,1415563,1
3,7,73,1,0,1,0,3,13,1,3,13,1,3,13,1,3,13,1
2,7,86,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,4,30,10,0,2,0,3,285082,1,3,135762,1,3,449822,1,3,135761,1
4,3,27,6,0,2,0,3,92709,1,3,96874,1,2,94937,1,2,52468,1
3,4,20,10,0,1,0,3,59229,1,3,87512,1,3,59674,1,3,87512,1
2,6,48,2,0,1,0,4,90,1,4,94,1,4,92,1,4,94,1
3,5,73,14,0,4,1,4,2167721,1,5,4089502,1,5,3227524,1,0,132770,0
2,4,24,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,3,24,6,0,2,0,3,75498,1,3,45301,1,3,46549,1,3,44414,1
2,3,24,6,0,1,0,4,181448,1,4,48426,1,4,75820,1,4,48426,1
2,4,28,7,0,3,0,5,13779,1,4,37252,1,4,32240,1,4,10190,1
4,4,116,12,3,2,6,5,4381943,1,10,11483082,1,8,10589545,1,7,5651501,1
3,3,24,6,0,1,0,3,50201,1,3,57322,1,3,93279,1,3,57322,1
2,4,24,12,0,4,0,4,150754,1,4,115701,1,4,180354,1,4,88923,1
3,6,32,11,0,4,0,0,7549,0,3,213925,1,3,114010,1,3,145096,1
3,3,27,6,0,2,0,3,55278,1,3,58904,1,3,111564,1,3,87019,1
4,5,50,13,0,2,0,3,922871,1,3,1035532,1,3,1014630,1,3,1035532,1
4,5,190,16,20,1,37,22,18839963,1,39,48268488,1,36,58274728,1,36,48414287,1
4,4,110,14,3,3,3,6,4607326,1,6,3703710,1,9,13583743,1,6,4153186,1
4,4,67,12,0,1,1,3,1266737,1,4,2236796,1,3,1538188,1,4,2257257,1
4,3,27,7,0,4,0,3,67658,1,2,65040,1,2,122072,1,2,61340,1
4,3,24,7,0,4,0,3,38670,1,2,46187,1,2,48699,1,3,62945,1
3,6,113,27,7,4,18,11,14247358,1,0,426,0,0,805,0,12,17541566,1
2,8,167,37,34,3,74,31,57795083,0,79,130460384,1,119,223105249,1,86,151880636,1
3,5,102,20,3,1,10,11,13866436,0,13,20445869,1,20,34241447,1,13,20445892,1
2,6,125,12,1,2,2,6,3677708,1,7,3348181,1,7,4832197,1,6,3348181,1
2,7,44,19,0,4,2,6,2828096,1,6,1470964,1,7,3129228,1,5,1139099,1
4,4,55,13,0,1,0,3,769800,1,3,924650,1,3,1375369,1,3,924650,1
3,4,58,14,0,3,0,4,1355047,1,4,749028,1,4,1696680,1,3,1124800,1
4,3,27,6,0,2,0,3,186915,1,2,51631,1,2,56728,1,2,51122,1
2,5,64,12,0,2,0,5,1773477,1,5,770571,1,5,2475766,1,5,705599,1
4,4,82,13,1,3,2,0,1754,0,4,1961883,1,8,11813284,1,4,2617062,1
4,4,23,14,0,3,0,3,165797,1,2,98968,1,2,140733,1,3,98968,1
2,6,136,29,16,2,41,57,114711138,1,45,66757288,1,87,172392839,1,77,149373032,1
3,4,31,6,0,2,0,3,23462,1,3,25027,1,3,16571,1,3,23434,1
3,4,80,12,1,2,3,6,5880440,1,7,7160621,1,6,6594636,1,6,5582413,1
2,7,26,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
4,5,179,18,20,3,24,19,20859742,1,27,23562702,1,26,39184518,1,23,23007986,1
3,3,24,7,0,3,0,3,45833,1,3,73920,1,3,74705,1,3,87188,1
2,4,57,12,0,2,1,5,1362567,1,6,1895825,1,5,766044,1,5,1315010,1
4,4,25,1,0,1,0,2,6,1,2,6,1,2,6,1,2,6,1
2,6,54,2,0,1,0,4,263,1,4,86,1,4,330,1,4,86,1
4,4,163,12,9,2,14,0,196163,0,14,8285188,1,27,44275766,1,12,8821784,1
3,4,58,12,0,2,1,4,1465036,1,4,2383947,1,5,5028035,1,4,2539255,1
3,5,89,20,2,4,2,11,18545741,1,6,4659592,1,8,12156014,1,0,1848,0
3,5,25,11,0,3,0,3,81302,1,3,45663,1,3,60479,1,3,83995,1
2,5,60,19,1,2,2,8,6529097,1,8,6979105,1,6,2728650,1,7,3865430,1
3,4,128,14,6,3,6,11,15841225,1,1,2168550,0,8,6790655,1,7,5175597,1
4,4,46,13,0,1,0,5,987497,1,3,1349569,1,3,639563,1,3,633078,1
2,6,66,18,0,2,3,7,5140479,1,0,303,0,6,4331445,1,6,2379883,1
3,4,40,9,0,1,0,3,491460,1,3,460290,1,3,809744,1,3,404379,1
3,5,142,20,12,3,26,14,19597458,1,18,21356966,1,49,97597854,1,14,11270176,1
3,3,21,7,0,3,0,3,60324,1,3,32440,1,3,60358,1,3,34925,1
4,4,130,13,5,2,10,7,5863665,1,10,7753370,1,9,11203856,1,10,11166387,1
4,3,21,6,0,2,0,3,38840,1,2,37694,1,2,45652,1,2,39076,1
4,4,51,12,0,1,1,0,83,0,4,2252536,1,0,216963,0,3,856378,1
3,5,188,23,42,2,44,29,39133047,1,70,94926325,1,63,114600616,1,43,49587847,1
3,4,88,13,1,3,2,5,2938243,1,6,3115369,1,7,8438393,1,5,3571162,1
2,4,24,6,0,2,0,4,131844,1,4,56490,1,4,71123,1,4,50792,1
2,6,111,22,5,5,38,0,68,0,42,22064853,1,0,68,0,35,36645984,1
2,5,30,9,0,2,0,5,178970,1,4,199857,1,5,223634,1,4,95844,1
4,4,163,12,8,2,11,10,7664128,1,16,11088879,1,15,19730522,1,13,10277118,1
3,3,24,6,0,1,0,3,54774,1,3,45446,1,3,45218,1,3,45446,1
3,5,142,20,8,2,17,10,11709930,1,32,52475835,1,21,35552043,1,38,68821420,1
2,3,24,6,0,2,0,5,56025,1,5,47892,1,4,69289,1,4,64883,1
2,6,55,19,1,1,2,6,2295048,1,7,4738294,1,10,12729667,1,6,3764519,1
2,8,40,15,0,4,0,5,986220,1,5,503804,1,4,605283,1,0,34833,0
3,3,24,6,0,2,0,3,49220,1,3,48325,1,3,43195,1,3,39537,1
3,4,78,13,0,2,2,4,2079228,1,5,2608415,1,7,9271597,1,0,76,0
4,4,39,6,0,2,0,2,14500,1,2,13058,1,2,25918,1,2,13058,1
3,3,24,7,0,3,0,3,67025,1,3,57785,1,3,55253,1,3,60360,1
3,4,39,12,0,2,0,0,62964,0,4,1416371,1,4,799696,1,3,1069066,1
4,5,58,13,0,1,0,3,1472545,0,3,933940,1,5,4668324,0,3,933940,1
4,3,24,6,0,2,0,3,47499,1,2,55258,1,3,191826,1,2,54217,1
2,6,72,20,1,3,2,9,10444970,1,8,4569793,1,10,13043831,1,9,8059838,1
2,6,60,21,1,6,2,12,18156936,1,8,7380728,1,9,10211519,1,8,6845162,1
3,4,100,12,1,3,3,5,3307285,1,7,5630031,1,8,9857043,1,7,6477097,1
4,4,115,12,3,2,4,6,4730880,1,0,1583719,0,10,14493253,1,6,4285561,1
4,4,59,7,0,3,0,3,82796,1,2,57679,1,2,58150,1,3,166841,1
3,5,26,1,0,1,0,3,13,1,3,13,1,3,13,1,3,13,1
3,7,122,1,0,1,0,3,5,1,3,5,1,3,5,1,3,5,1
4,4,46,13,0,2,0,3,516093,1,3,602914,1,3,1189543,1,3,830313,1
4,4,46,15,0,1,0,4,1586816,1,3,462868,1,3,1435201,1,3,462868,1
4,5,66,7,0,4,0,3,52052,1,3,70051,1,3,67487,1,2,55362,1
2,5,192,12,7,2,10,13,8686271,1,38,8259880,1,35,56705310,1,13,8746661,1
4,4,44,10,0,1,0,3,555882,1,3,354489,1,3,354873,1,3,354489,1
3,4,31,13,0,4,0,4,445158,1,3,481153,1,3,475686,1,3,224960,1
4,5,92,17,2,2,4,6,2189490,0,13,22100978,1,5,6312892,0,6,5421009,1
3,3,24,6,0,2,0,3,63953,1,3,44632,1,3,46052,1,3,44590,1
4,3,24,6,0,1,0,2,60485,1,3,36181,1,2,46266,1,2,36181,1
3,4,100,13,2,4,2,5,3594681,1,16,26234520,1,9,11658418,1,5,3903677,1
2,3,24,7,0,3,0,4,191458,1,4,68076,1,4,50073,1,4,45107,1
4,3,24,6,0,1,0,3,52557,1,2,44106,1,3,57098,1,2,44106,1
2,4,23,10,0,4,0,4,428918,1,4,70529,1,4,227339,1,4,86138,1
3,5,39,15,0,3,0,3,534615,1,3,488126,1,5,1178472,1,3,1195993,1
4,4,29,11,0,2,0,3,322634,1,3,197124,1,3,291600,1,3,197124,1
3,4,22,12,0,3,0,3,139536,1,3,140851,1,3,144629,1,3,143560,1
2,6,47,18,0,6,1,6,3288769,1,5,1661967,1,6,2832663,1,5,1013487,1
4,3,23,6,0,2,0,3,61195,1,2,44525,1,2,71288,1,2,44525,1
3,4,21,7,0,4,0,3,16473,1,3,14187,1,3,14091,1,3,12158,1
2,7,109,26,9,5,26,25,49436830,1,21,25690917,1,42,32543425,1,37,66426080,1
4,3,21,8,0,2,0,3,64616,1,2,47540,1,2,60013,1,2,46499,1
2,7,191,21,7,3,19,15,20055917,1,40,15461903,1,0,46819,0,26,39575354,1
2,6,67,16,0,4,6,6,2738735,1,7,3602447,1,6,3978555,1,6,2831935,1
4,4,117,12,2,1,10,5,4474219,1,38,19619468,1,9,13473310,1,12,19619468,1
3,5,113,18,5,6,6,10,15606075,1,16,21726487,1,19,33659826,1,10,10470459,1
4,3,23,6,0,2,0,3,63756,1,2,50313,1,3,42033,1,3,51215,1
3,5,31,4,0,2,0,3,880,1,3,1351,1,3,839,1,3,1350,1
2,4,31,10,0,2,0,5,348659,1,5,314152,1,4,278180,1,4,286727,1
4,5,186,20,28,2,36,24,31774165,1,52,48629050,1,119,241292714,1,28,24050363,1
3,4,48,12,0,2,0,3,961678,1,3,827263,1,3,1021649,1,3,780869,1
3,4,43,13,0,2,0,3,442776,1,3,276416,1,3,449943,1,3,1278243,1
4,4,116,13,3,3,5,7,8065040,1,8,8035100,1,8,10673208,1,7,6578245,1
3,6,108,1,0,1,0,3,5,1,3,5,1,3,5,1,3,5,1
2,6,72,18,1,4,4,10,11472873,1,7,3145677,1,6,3262556,1,8,6103701,1
2,3,24,6,0,1,0,0,68,0,4,70862,1,4,54622,1,0,68,0
2,4,37,12,0,1,0,5,2541854,1,5,536749,1,4,394633,1,4,307510,1
4,4,78,13,1,2,2,4,1256363,1,4,2677914,1,4,2174072,1,5,4748430,1
3,4,128,15,7,5,6,7,6170246,1,10,8681073,1,9,11003475,1,9,9989674,1
4,4,55,12,0,2,0,3,1527533,1,3,1785915,1,3,1368879,1,3,1793774,1
2,4,176,12,11,1,23,22,28931566,1,28,29585915,1,18,16241650,1,26,29585915,1
3,5,54,18,0,3,0,4,1853293,1,4,1899398,1,4,1948042,1,4,1380811,1
4,4,142,14,6,3,8,7,6014579,1,11,8259016,1,10,12062250,1,12,13408953,1
2,6,29,17,0,5,0,5,561074,1,5,448168,1,5,703221,1,4,392744,1
2,5,61,13,0,3,0,5,716730,1,5,639117,1,5,1167744,1,5,639117,1
3,5,74,13,0,3,0,4,1193664,1,3,919672,1,4,2515539,1,4,919672,1
3,3,24,6,0,3,0,3,147175,1,3,56438,1,3,119670,1,3,63042,1
2,3,24,6,0,1,0,4,63478,1,4,48042,1,4,73007,1,4,154576,1
2,4,116,13,3,4,5,14,19682181,1,12,11972891,1,31,32568268,1,10,8258764,1
3,4,29,14,0,4,0,0,130651,0,0,4125,0,3,343707,1,3,263026,1
2,4,66,14,1,3,2,6,3308409,1,6,2926943,1,6,2736546,1,7,4984159,1
2,6,109,21,4,2,23,12,15084419,1,27,43248544,1,13,16500706,1,27,43291880,1
2,4,42,13,0,5,0,5,1374025,1,5,837734,1,5,624534,1,5,1415012,1
3,4,26,10,0,2,0,3,111794,1,3,216917,1,3,142408,1,3,103865,1
2,6,27,12,0,4,0,4,232070,1,4,282925,1,4,267184,1,4,282917,1
2,5,40,13,0,2,0,6,2864237,1,5,826055,1,5,1460257,1,5,422547,1
3,6,82,4,0,2,0,3,1668,1,3,2390,1,3,2450,1,3,2391,1
2,8,64,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
2,4,25,13,0,4,0,5,471919,1,4,368640,1,5,785787,1,4,581143,1
2,4,40,12,0,1,0,5,684528,1,6,1348315,1,5,1628824,1,5,930071,1
3,4,62,12,0,1,1,4,998001,1,4,2044867,1,4,3191407,1,4,2044867,1
2,5,164,19,16,2,19,27,44141415,1,24,22277028,1,24,31596934,1,22,22277015,1
3,4,26,12,0,3,0,3,308877,1,3,179947,1,3,739832,1,3,178125,1
2,5,26,4,0,2,0,4,907,1,4,737,1,4,786,1,4,737,1
4,4,78,12,0,2,1,4,2191083,1,4,1731500,1,5,4703305,1,4,1825074,1
4,5,145,19,9,1,16,20,30991833,1,19,19286629,1,36,70398420,1,18,19286629,1
2,4,23,12,0,1,0,5,603678,1,4,159947,1,5,698720,1,4,159947,1
4,4,50,14,0,2,0,4,1051637,1,3,786899,1,3,1064581,1,3,846364,1
3,4,128,12,4,2,6,0,72,0,10,9123786,1,0,369,0,9,8666375,1
3,4,32,13,0,3,0,3,374112,1,3,368687,1,3,523644,1,3,1246325,1
2,5,26,12,0,2,0,5,256043,1,4,132989,1,4,249231,1,5,328066,1
4,4,140,13,6,3,8,7,5477968,1,10,7486907,1,12,17110837,1,9,7515535,1
3,4,23,10,0,2,0,3,115332,1,3,95273,1,3,62957,1,3,96869,1
2,3,24,7,0,4,0,5,72961,1,4,126209,1,4,64231,1,5,99633,1
2,7,125,33,11,2,118,42,71798792,1,120,242129744,1,63,120834944,1,118,242129744,1
3,4,60,12,0,1,0,4,1088712,1,4,862351,1,10,16604278,1,4,1376412,1
4,5,107,20,8,4,7,7,5862606,1,8,7413026,1,13,22158142,1,6,5863873,1
2,7,144,20,16,2,14,14,18769801,0,50,85525814,1,31,51241798,1,27,35912630,1
3,3,24,7,0,3,0,3,211381,1,3,46642,1,3,168825,1,3,52493,1
2,6,53,17,0,3,1,7,5989857,1,7,4130199,1,7,3131657,1,8,5993130,1
4,3,24,6,0,1,0,3,44888,1,3,90062,1,3,65074,1,3,86550,1
2,6,103,25,6,3,16,27,40874369,0,29,43930388,1,21,32960220,1,25,36826090,1
4,4,46,12,0,2,0,3,436430,1,3,588129,1,3,1503717,1,0,369246,0
2,6,118,21,6,3,13,14,17776533,1,31,55119128,1,28,51848236,1,17,24272682,1
3,4,20,10,0,2,0,3,89318,1,3,97361,1,0,76,0,0,338,0
4,5,111,20,5,4,11,6,5295931,0,17,22858741,1,8,11045138,1,13,17704263,1
2,4,23,9,0,3,0,5,459979,1,4,206625,1,4,226718,1,4,110056,1
4,5,181,22,27,3,38,14,21037070,0,98,171888385,1,27,38509010,1,40,43229152,1
3,6,176,33,45,3,183,28,55642531,0,209,408900097,1,81,166334927,0,121,220484947,1
3,4,130,13,4,3,6,7,5110951,1,9,6029757,1,16,24202331,1,12,14865811,1
2,7,129,26,9,1,25,20,33128219,1,29,37855654,1,45,51242579,1,28,37855654,1
4,3,21,6,0,2,0,3,28752,1,3,32388,1,2,35566,1,2,28949,1
4,5,80,12,0,3,1,6,2001624,1,4,1845866,1,5,1506583,1,0,368,0
2,4,97,12,1,1,14,9,8387343,1,18,28075615,1,8,6501287,1,7,4009301,1
4,3,24,7,0,4,0,3,156744,1,2,46655,1,2,87385,1,2,61883,1
2,6,112,18,4,1,25,12,14812021,1,41,47738773,1,13,15832111,1,19,23546975,1
2,6,151,28,29,3,44,21,30214862,1,30,37576039,1,80,157131031,1,29,37576039,1
2,8,131,22,4,2,11,14,19420817,1,15,15911268,1,12,15092915,1,14,16304382,1
2,8,129,1,0,1,0,4,12,1,4,12,1,4,12,1,4,12,1
2,5,59,16,0,3,1,6,3936549,1,6,2793149,1,11,14154561,1,6,3625242,1
2,8,141,26,12,4,21,33,56625784,1,28,30432207,1,19,25392362,1,29,35564158,1
2,5,27,11,0,2,0,5,565515,1,4,194284,1,5,1046188,1,4,157644,1
3,5,109,13,1,3,1,4,2316969,1,4,2105085,1,0,233730,0,4,2001478,1
3,4,78,12,0,2,2,5,2185957,1,5,3084297,1,7,8080894,1,4,1217127,1
3,3,27,6,0,2,0,3,78422,1,3,69261,1,3,92903,1,3,51894,1
2,4,176,12,11,2,17,15,9975347,1,21,13458706,1,34,51862974,1,20,15194060,1
2,5,100,19,4,3,28,12,16600452,1,17,21664889,1,20,33107512,1,15,20694527,1
2,3,24,6,0,2,0,4,73236,1,4,119750,1,4,88868,1,4,38773,1
2,5,47,17,0,1,1,5,1531450,1,6,3126531,1,6,1589733,1,6,3126531,1
3,5,194,17,23,3,41,34,50999615,1,141,261362277,1,47,74175902,1,45,43502220,1
3,5,101,16,2,3,6,12,21023703,1,9,8389262,1,7,7133643,1,9,9316808,1
3,5,186,21,22,2,56,28,38647483,1,59,77907815,1,114,224427922,1,57,87288458,1
2,6,130,27,9,4,21,18,30385008,0,0,584,0,37,66679945,1,25,29641006,1
3,3,24,6,0,3,0,3,41665,1,3,56533,1,3,49089,1,0,76,0
2,5,54,17,0,2,0,7,6248398,1,5,1386522,1,5,2020838,1,5,1611175,1
2,4,66,12,0,3,1,6,4366380,1,7,5570630,1,6,3701394,1,6,3813638,1
2,5,35,10,0,2,0,5,370628,1,4,403488,1,4,162405,1,4,95329,1
3,4,78,12,1,2,1,4,2315285,1,5,2522010,1,6,6971205,1,5,4434891,1
2,4,116,13,3,3,7,9,7558514,1,9,4020885,1,8,6087231,1,10,8446660,1
3,5,60,18,1,5,3,4,3005762,0,8,10819529,1,6,4985931,0,0,33947,0
3,5,190,20,36,4,161,34,50753525,1,1,3098474,0,47,75913233,1,53,67763429,1
2,6,171,26,26,5,120,61,118333446,1,140,258978892,1,79,152654649,1,111,202559627,1
3,4,66,12,0,2,1,4,1178152,1,4,1967421,1,4,2686699,1,4,2038569,1
3,4,65,13,1,4,1,5,3185692,1,4,1090811,1,4,2667716,1,4,2186869,1
3,4,48,6,0,1,0,3,93072,1,3,72002,1,0,142118,0,3,71998,1
2,4,60,12,0,2,0,6,2486372,1,6,921377,1,6,3790021,1,6,3106760,1
3,4,44,10,0,1,0,3,295317,1,3,422105,1,3,471560,1,3,551556,1
3,5,92,16,1,2,5,6,5286240,1,7,5704324,1,7,6932695,1,0,75,0
2,4,42,13,0,3,0,5,2061010,1,5,710866,1,6,3415282,1,5,759926,1
3,4,56,13,0,4,0,4,2668426,1,4,2650283,1,4,1738058,1,4,2158863,1
2,3,24,6,0,2,0,4,52128,1,4,102583,1,4,73643,1,4,169578,1
3,5,35,1,0,1,0,3,13,1,3,13,1,3,13,1,4,13,1
4,4,199,14,24,1,24,18,10105238,1,26,16734505,1,22,19818228,1,23,16734505,1
4,4,29,12,0,3,0,3,379537,1,3,237222,1,3,403266,1,3,351379,1
3,5,166,17,14,3,24,16,19419232,1,25,25199263,1,65,126571773,1,29,40008860,1
4,4,64,13,1,3,1,4,1411480,1,4,1664185,1,4,2376478,1,4,1664185,1
2,3,24,6,0,1,0,4,86575,1,5,47182,1,4,52478,1,4,47182,1
3,5,65,2,0,2,0,3,81,1,3,81,1,3,81,1,3,82,1
3,4,120,13,3,4,5,7,7729239,1,9,7907543,1,7,6938007,1,8,6921308,1
4,3,27,6,0,2,0,3,46977,1,2,43554,1,2,53198,1,2,43554,1
4,4,176,12,11,2,16,0,82,0,0,83,0,0,83,0,19,20626212,1
3,3,24,6,0,1,0,3,68126,1,3,45483,1,3,93467,1,3,45483,1
4,4,69,12,1,2,1,4,1084666,1,4,2565004,1,4,2565422,1,4,2553585,1
2,5,39,9,0,2,0,4,144258,1,4,211845,1,4,307734,1,4,211082,1
